#Grade   N  AtLeast AtLeast%
"Prov B" 41 175 100
"Prov A" 30 134  77
"Nat C"  24 104  59
"Nat B"  13  80  46
"Nat A"  19  67  38
3-Conf    6  48  27
2-Cont   27  42  24
1-Int    15  15   9
