Yr %F Senior Junior
2001  15 27 31
2002  10 27 34
2003   8 28 33
2004   7 26 34
2005  10 27 36
2009  16 25 24
2011   8 28 31
2012  11 27 28
2013  13 31 30
2014  14 29 28
2015  15 28 24
2016  19 32 25
2017  19 31 23
2018  23 30 27
2019  18 32 17
2021  22 36 18
2022  27 30 20
2023  31 28 22 
2024  31 23 22
2025  28 25 15
