# Year Gain Loss
"2001-2002" +6 -5 60
"2002-2003" +6 -6 61
"2003-2004" +10 -11 61
"2004-2005" +8 -5 60
"2011-2012" +3 -7 59
"2012-2013" +10 -4 55
"2013-2014" +7 -11 61
"2014-2015" +5 -10 57
"2015-2016" +9 -4 52
"2016-2017" +5 -4 57
"2017-2018" +7 -8 58
"2018-2019" +6 -13 57
"2021-2022" +6 -6 48
"2022-2023" +0 -3 48
"2023-2024" +3 -8 45
